implementation,message_size,threads,throughput_gbps,avg_latency_us,cycles,instructions,context_switches,cache_references,cache_misses
two_copy,64,1,1.373297,0.33,39318607657,84449029042,818,38538320,5602651
two_copy,64,2,2.951417,0.33,83483603426,180897035973,1413,82860065,5714056
two_copy,64,4,5.546936,0.35,162238305756,348677374413,5956,165572240,18258493
two_copy,64,8,7.871497,0.50,316785014597,573339386518,6447,308032379,50179994
two_copy,256,1,5.804643,0.34,42574363050,90780332441,724,145394852,2919270
two_copy,256,2,10.787810,0.36,81356673838,174376267884,4384,284225642,27216198
two_copy,256,4,17.572738,0.45,161249490159,336633124511,6870,589670973,30728335
two_copy,256,8,29.311675,0.54,312509079192,540539449858,14648,1042037983,178664206
two_copy,1024,1,19.678488,0.40,42408512661,84150420021,10157,487932169,10183237
two_copy,1024,2,37.287859,0.42,81436870263,155273384570,1446,916932810,126462271
two_copy,1024,4,55.995350,0.56,161148939038,299136169756,23583,1841795251,164344113
two_copy,1024,8,88.460850,0.72,299747231155,412363185377,25359,2791060930,1311646982
two_copy,4096,1,57.334124,0.55,42645068669,70748266179,822,1370055718,9007786
two_copy,4096,2,98.660617,0.64,80919583483,123380929583,6392,2471093337,139585893
two_copy,4096,4,115.771619,1.11,156020442234,170013837430,101075,3610824949,1492154220
two_copy,4096,8,146.312106,1.76,274490296231,185919223051,121802,4163635127,2650937567
one_copy,64,1,1.114165,0.44,41771901217,77744935572,81435,109703496,599666
one_copy,64,2,2.400357,0.41,80270629882,160733220505,73111,164368881,3823972
one_copy,64,4,3.899806,0.50,160043913965,320829892876,65121,293541186,11545767
one_copy,64,8,4.247372,0.93,215674158270,273701062035,111430,203905712,34065718
one_copy,256,1,2.568927,0.78,40754983239,64160625557,147630,207762266,758726
one_copy,256,2,7.846220,0.50,79734888988,147858282059,110884,351498153,6866633
one_copy,256,4,14.088616,0.56,158895770861,307174456523,149239,688168851,75984937
one_copy,256,8,12.753586,1.25,204635992495,248044223031,624863,557973510,67854427
one_copy,1024,1,4.277628,1.82,34388188591,48195220184,622186,266350264,801345
one_copy,1024,2,8.195543,1.90,65691394579,91637271369,1134201,513494650,989556
one_copy,1024,4,13.944205,2.25,135095231857,180274907575,1312151,1049339864,4278387
one_copy,1024,8,23.659507,2.65,167077017339,192565672837,2293416,821467002,39545396
one_copy,4096,1,9.360693,2.57,34943058082,43955483835,458079,367835364,2333120
one_copy,4096,2,18.371396,2.66,67149556094,85607265985,913705,724197280,3258917
one_copy,4096,4,32.664450,3.40,133664820069,164650296005,1444257,1436094760,9600764
one_copy,4096,8,48.016720,5.03,151397997966,173021198636,2951789,941192875,121164507
zero_copy,64,1,1.052319,0.47,42359761761,76104737863,1349,199859911,2255285
zero_copy,64,2,1.958580,0.50,80934266455,144846508516,10804,396806590,3791076
zero_copy,64,4,3.000519,0.66,156074096500,257781581073,129215,710237369,7606435
zero_copy,64,8,3.700631,1.08,222783899932,273653860113,715392,299221876,4369416
zero_copy,256,1,3.955038,0.50,42235714294,90195997015,750,162790827,4373098
zero_copy,256,2,6.908923,0.57,80891683806,158676709817,8348,428491426,15364825
zero_copy,256,4,10.333172,0.77,157551537201,275145421344,134112,1058025961,48170964
zero_copy,256,8,14.443149,1.11,250592552516,309347099585,120241,1363490683,55787028
zero_copy,1024,1,12.879126,0.62,42445628485,75267435284,11830,505663847,117014980
zero_copy,1024,2,23.261880,0.69,80457036320,138611387419,47498,1011158165,209486028
zero_copy,1024,4,35.184303,0.91,154469829502,234660555277,262629,1988325143,317583736
zero_copy,1024,8,50.719883,1.26,260479968871,292856576378,226373,2850810071,729283246
zero_copy,4096,1,33.509838,0.96,39161877740,49070446670,249058,966773067,64430699
zero_copy,4096,2,61.359705,1.04,74442695055,94673902014,425881,1837737482,96964656
zero_copy,4096,4,89.944395,1.43,139960448008,170768436892,946036,3290232858,158054953
zero_copy,4096,8,117.025805,2.20,257821187496,234905813051,711736,4514015897,1559873121
